18,2,10,18
15,2,8,16
16,2,9,17
15,2,8,16
13,2,7,13
13,2,7,14
13,2,7,13
10,1,5,10
6,1,3,6
9,1,5,9
8,1,4,8
6,1,3,6
8,1,4,8
8,1,4,8
6,1,3,6
9,1,5,9
6,1,3,6
4,0,2,4
1,1,0,1
5,5,0,5
11,11,0,11
10,9,0,10
11,10,0,11
13,13,1,13
15,14,1,15
16,15,1,16
17,17,1,17
19,18,1,19
17,17,1,17
19,18,1,19
17,17,1,17
16,15,1,16
20,19,1,20
21,20,1,21
20,19,1,20
16,15,1,16
13,13,1,13
10,9,0,10
7,7,0,7
1,0,1,1
7,1,4,7
14,2,8,14
19,2,11,20
26,3,14,27
34,4,19,35
34,4,19,35
26,3,14,26
21,3,11,21
17,2,9,18
12,2,7,13
8,1,4,8
7,1,4,8
8,1,5,9
11,1,6,11
15,2,8,15
15,2,8,16
17,2,9,17
14,2,7,14
12,2,7,13
13,2,7,13
11,1,6,11
9,1,5,9
7,1,4,8
9,1,5,10
15,2,8,15
14,2,8,14
9,1,5,10
9,1,5,9
9,1,5,9
7,1,4,8
10,1,5,10
10,1,5,10
8,1,4,8
9,1,5,9
8,1,5,9
7,1,4,8
11,1,6,11
10,1,6,10
11,1,6,11
7,1,4,7
5,1,3,6
0,0,0,1
8,8,0,8
21,21,1,21
38,37,1,38
49,48,2,49
53,51,2,53
58,57,2,58
58,56,2,58
54,52,2,54
54,53,2,54
53,52,2,53
44,42,2,44
35,34,1,35
31,30,1,31
29,28,1,29
26,26,1,26
23,22,1,23
24,23,1,24
27,26,1,27
26,25,1,26
24,23,1,24
21,21,1,21
15,15,1,15
6,6,0,6
3,3,0,3
1,0,0,1
0,0,0,0
0,0,0,0
3,3,0,3
1,1,0,1
2,1,0,2
2,2,0,2
1,1,0,1
3,3,0,3
1,1,0,1
2,2,0,2
1,1,0,1
1,0,1,1
2,2,0,2
3,3,0,3
3,3,0,3
3,3,0,3
2,2,0,2
5,5,0,5
4,3,0,4
2,1,0,2
0,0,0,1
2,0,1,3
4,1,2,4
2,0,1,2
1,0,1,1
3,0,2,3
2,0,1,2
1,0,0,1
5,1,3,5
3,0,2,3
3,0,2,3
1,0,1,1
0,0,0,0
6,1,3,6
12,1,7,12
19,2,10,19
20,3,11,21
17,2,9,18
15,2,8,16
14,2,8,14
13,2,7,13
14,2,7,14
11,1,6,12
13,2,7,13
13,2,7,13
11,1,6,11
13,2,7,13
14,2,8,15
14,2,8,15
13,2,7,13
13,2,7,13
14,2,7,14
13,2,7,13
11,1,6,11
12,2,7,13
9,1,5,9
8,1,4,8
6,1,3,6
3,0,2,4
4,4,0,4
15,14,1,15
26,25,1,26
39,38,2,39
44,43,2,44
47,46,2,47
47,45,2,47
42,41,2,42
37,35,1,37
30,29,1,30
30,30,1,30
25,25,1,25
23,22,1,23
18,17,1,18
15,15,1,15
15,14,1,15
15,14,1,15
10,10,0,10
9,9,0,9
6,6,0,6
6,6,0,6
2,2,0,2
2,0,1,2
8,1,4,8
17,2,9,17
24,3,13,25
25,3,14,25
27,3,15,28
31,4,17,32
33,4,18,34
33,4,18,34
32,4,18,33
31,4,17,32
28,4,16,29
30,4,17,31
29,4,16,29
29,4,16,30
26,3,14,26
25,3,14,25
20,3,11,21
23,3,13,24
22,3,12,22
18,2,10,19
18,2,10,19
16,2,9,16
17,2,9,18
17,2,9,17
16,2,9,17
15,2,9,16
11,1,6,11
12,1,6,12
10,1,6,10
5,1,3,5
6,1,3,6
5,1,3,5
4,0,2,4
1,1,0,1
13,13,1,13
28,27,1,28
30,29,1,30
29,28,1,29
28,27,1,28
32,31,1,32
41,40,2,41
42,41,2,42
44,43,2,44
44,42,2,44
39,37,2,39
36,35,1,36
34,33,1,34
29,28,1,29
27,26,1,27
22,21,1,22
24,23,1,24
22,21,1,22
19,18,1,19
13,13,1,13
6,6,0,6
4,0,2,4
14,2,8,15
20,3,11,21
27,3,15,27
26,3,14,27
28,3,15,28
28,4,16,29
28,3,15,28
28,4,16,29
32,4,18,33
32,4,18,33
35,4,19,36
38,5,21,39
33,4,18,34
30,4,16,30
26,3,14,26
25,3,14,26
25,3,14,26
24,3,13,25
17,2,9,17
