2,59,83,58
2,79,112,78
2,84,118,83
2,85,121,84
2,87,123,86
2,87,123,86
2,82,117,81
2,81,115,80
2,80,114,80
2,81,115,80
2,78,111,77
2,75,106,74
2,72,102,71
2,71,101,70
2,72,103,72
2,73,103,72
2,72,102,71
2,69,97,68
2,65,92,64
1,52,73,51
1,43,61,43
1,27,39,27
0,17,25,17
0,10,14,10
0,9,13,9
0,6,9,6
0,4,6,4
0,1,1,1
8,0,5,6
11,0,6,7
9,0,5,6
8,0,5,6
7,0,4,5
0,0,0,0
0,4,5,4
0,8,11,8
0,9,12,8
0,7,10,7
0,8,12,8
0,4,6,4
0,4,5,4
0,5,7,5
0,5,7,5
0,3,5,3
2,0,1,1
4,0,3,3
6,0,3,4
3,0,1,2
4,0,2,3
11,0,6,8
4,0,2,2
2,0,1,1
2,0,1,1
0,2,2,1
0,4,6,4
0,6,9,6
0,5,6,4
0,6,9,6
0,5,7,5
0,1,1,1
6,0,4,4
10,0,6,7
16,0,9,11
19,0,11,13
17,0,10,12
15,0,9,11
13,0,8,9
11,0,7,8
16,0,9,11
28,0,17,20
54,0,32,38
83,0,48,58
109,0,64,76
128,0,75,90
139,0,81,97
157,0,92,110
175,0,102,122
180,0,105,126
184,0,108,128
187,0,109,130
186,0,109,130
179,0,105,125
168,0,98,118
151,0,88,105
128,0,75,90
91,0,53,64
52,0,30,36
26,0,15,18
14,0,8,10
23,0,13,16
37,0,22,26
31,0,18,21
5,0,3,4
0,3,5,3
0,4,5,4
0,7,9,6
0,8,11,8
1,26,37,26
2,66,94,66
3,95,135,94
3,107,151,105
3,117,166,116
4,131,185,129
4,141,200,140
4,138,196,137
3,114,162,113
2,75,106,74
1,45,64,45
1,31,44,31
1,23,33,23
0,0,0,0
18,0,10,12
26,0,15,18
24,0,14,17
37,0,22,26
66,0,38,46
88,0,51,61
82,0,48,57
69,0,40,48
55,0,32,38
55,0,32,38
44,0,26,31
19,0,11,14
3,0,1,2
0,2,3,2
0,3,4,3
0,3,4,3
0,4,6,4
0,3,4,3
0,7,10,7
0,6,8,6
0,6,8,6
0,5,8,5
0,7,10,7
0,7,9,7
0,5,7,5
0,5,7,5
0,3,5,3
0,2,3,2
3,0,2,2
14,0,8,9
20,0,12,14
31,0,18,22
36,0,21,25
39,0,23,27
38,0,22,26
29,0,17,20
19,0,11,13
7,0,4,5
0,3,4,3
0,9,12,9
0,13,18,12
0,14,20,14
0,17,24,17
1,21,30,21
1,21,30,21
1,23,32,22
1,25,36,25
1,25,36,25
1,25,36,25
1,25,36,25
1,28,39,27
1,32,46,32
1,35,50,35
1,37,52,36
1,40,56,39
1,41,58,40
1,43,60,42
1,43,60,42
1,43,61,43
1,43,61,42
1,44,62,43
1,43,60,42
1,43,60,42
1,43,61,42
1,46,65,45
1,47,66,46
1,49,69,48
1,50,71,50
1,51,73,51
1,49,70,49
1,48,68,47
1,48,67,47
