13,7,13,9
14,7,14,10
14,7,14,10
13,6,13,9
14,7,14,10
15,7,15,10
13,6,13,9
15,7,15,10
14,7,14,10
13,7,13,9
14,7,14,10
13,7,13,9
12,6,12,9
14,7,14,10
15,8,15,11
14,7,14,10
16,8,16,11
13,7,13,9
13,6,13,9
13,6,13,9
15,7,15,10
14,7,14,10
15,8,15,11
13,7,13,9
14,7,14,10
13,6,13,9
12,6,12,8
13,6,13,9
12,6,12,8
11,5,11,7
9,5,9,7
10,5,10,7
9,5,9,6
8,4,8,6
7,3,7,5
6,3,6,4
5,2,5,3
5,3,5,4
4,2,4,3
2,1,2,2
4,2,4,3
3,1,3,2
2,1,2,1
2,1,2,1
3,2,3,2
3,1,3,2
2,1,2,1
2,1,2,2
2,1,2,1
0,0,0,0
1,1,0,1
0,0,0,0
1,2,0,1
0,0,0,0
1,1,0,1
1,0,1,0
1,1,1,1
1,1,1,1
2,1,2,1
3,1,3,2
2,1,2,1
2,1,2,2
3,2,3,2
3,2,3,2
4,2,4,3
5,2,5,3
4,2,4,3
6,3,6,4
7,4,7,5
9,5,9,6
10,5,10,7
10,5,10,7
12,6,12,8
12,6,12,9
14,7,14,10
16,8,16,11
18,9,18,13
18,9,18,13
21,10,21,15
19,10,19,14
18,9,18,13
20,10,20,14
20,10,20,14
20,10,20,14
20,10,20,14
20,10,20,14
20,10,20,14
18,9,18,13
19,10,19,14
20,10,20,14
20,10,20,14
19,9,19,13
19,9,19,13
18,9,18,13
18,9,18,12
16,8,16,11
18,9,18,13
17,9,17,12
16,8,16,11
14,7,14,10
15,7,15,10
15,8,15,11
19,9,19,13
21,11,21,15
17,8,17,12
13,7,13,9
12,6,12,8
11,5,11,8
12,6,12,8
11,6,11,8
11,6,11,8
11,6,11,8
11,6,11,8
11,6,11,8
9,4,9,6
8,4,8,5
5,2,5,3
0,0,0,0
1,2,0,1
2,3,0,2
4,5,0,4
5,7,1,5
7,10,1,7
10,14,1,10
12,16,1,12
14,19,2,14
17,22,2,16
19,25,2,18
21,27,2,20
24,32,3,23
25,33,3,24
28,37,3,27
29,38,3,27
30,39,3,28
29,38,3,27
29,39,3,28
29,39,3,28
30,40,3,29
28,37,3,27
26,35,3,25
26,34,3,25
27,36,3,26
26,35,3,25
26,35,3,25
26,35,3,25
25,33,3,24
24,32,3,23
24,32,3,23
25,33,3,24
26,34,3,25
26,34,3,25
25,33,3,24
21,28,2,20
21,28,2,20
23,31,3,22
27,36,3,26
27,36,3,26
25,33,3,24
24,32,3,23
22,29,2,21
19,26,2,18
17,23,2,16
17,22,2,16
15,20,2,15
12,16,1,11
8,11,1,8
3,4,0,3
0,0,0,0
5,2,5,3
9,4,9,6
14,7,14,10
18,9,18,13
26,13,26,18
35,17,35,25
45,22,45,31
55,27,55,38
61,31,61,43
61,30,61,43
58,29,58,41
57,28,57,40
55,27,55,39
51,26,51,36
47,24,47,33
41,21,41,29
40,20,40,28
43,22,43,31
44,22,44,31
43,22,43,30
46,23,46,32
45,22,45,31
44,22,44,31
46,23,46,32
47,23,47,33
45,22,45,32
44,22,44,31
41,20,41,29
42,21,42,30
39,20,39,28
42,21,42,29
43,21,43,30
42,21,42,29
41,20,41,29
38,19,38,27
35,18,35,25
34,17,34,24
32,16,32,23
31,16,31,22
32,16,32,22
32,16,32,22
35,17,35,25
35,17,35,24
34,17,34,24
34,17,34,24
34,17,34,24
34,17,34,24
34,17,34,24
29,14,29,20
29,14,29,20
28,14,28,19
27,13,27,19
26,13,26,18
25,12,25,17
22,11,22,15
21,10,21,15
18,9,18,13
18,9,18,13
15,8,15,11
14,7,14,10
14,7,14,10
15,7,15,10
12,6,12,8
7,4,7,5
5,2,5,3
1,1,1,1
0,0,0,0
1,1,0,1
3,4,0,3
7,10,1,7
9,12,1,9
11,14,1,10
11,15,1,11
13,17,1,12
16,22,2,15
18,24,2,17
21,28,2,20
21,28,2,20
23,30,3,22
22,29,2,21
22,29,2,21
23,30,3,22
23,30,3,22
23,31,3,22
23,31,3,22
21,28,2,20
21,28,2,20
16,21,2,15
15,20,2,15
17,22,2,16
17,23,2,16
18,23,2,17
19,26,2,18
16,21,2,15
14,18,2,13
11,14,1,10
12,16,1,11
14,19,2,13
14,19,2,14
14,18,2,13
14,18,2,13
12,16,1,12
13,17,1,12
14,18,2,13
15,20,2,14
18,23,2,17
19,25,2,18
22,29,2,21
25,33,3,24
29,38,3,28
32,42,4,30
35,46,4,33
32,43,4,31
30,39,3,28
26,34,3,24
21,27,2,20
