13,7,13,29
13,6,13,28
12,6,12,26
11,6,11,24
11,6,11,24
12,6,12,26
12,6,12,26
11,6,11,25
11,6,11,24
11,5,11,23
10,5,10,23
10,5,10,21
8,4,8,18
9,4,9,19
9,5,9,20
10,5,10,22
11,5,11,23
10,5,10,21
10,5,10,23
9,4,9,19
10,5,10,21
10,5,10,22
10,5,10,22
9,5,9,20
10,5,10,22
9,4,9,20
9,5,9,21
10,5,10,22
10,5,10,21
8,4,8,18
7,4,7,16
8,4,8,17
8,4,8,17
9,4,9,19
8,4,8,18
8,4,8,16
7,4,7,16
6,3,6,13
6,3,6,13
4,2,4,10
4,2,4,9
5,3,5,11
6,3,6,13
8,4,8,17
9,5,9,20
11,6,11,24
11,5,11,24
13,7,13,29
15,7,15,32
17,9,17,37
15,8,15,33
11,6,11,24
10,5,10,21
10,5,10,22
10,5,10,22
9,5,9,20
11,5,11,23
11,5,11,23
9,5,9,20
11,5,11,23
10,5,10,22
10,5,10,21
10,5,10,22
10,5,10,21
9,4,9,19
10,5,10,22
11,6,11,24
10,5,10,22
11,6,11,25
10,5,10,21
9,5,9,20
9,5,9,20
11,5,11,24
10,5,10,22
11,6,11,24
10,5,10,21
10,5,10,22
9,5,9,20
8,4,8,18
9,5,9,21
9,4,9,19
8,4,8,17
7,3,7,15
7,4,7,16
7,3,7,15
6,3,6,13
5,2,5,11
4,2,4,10
4,2,4,8
4,2,4,9
3,1,3,6
2,1,2,3
3,1,3,6
2,1,2,4
1,1,1,3
2,1,2,3
2,1,2,5
2,1,2,4
1,1,1,2
2,1,2,4
1,1,1,3
0,0,0,1
0,1,0,1
0,0,0,0
1,1,0,3
0,0,0,1
0,1,0,1
0,0,0,1
1,1,1,2
1,0,1,2
1,1,1,3
2,1,2,5
1,1,1,3
2,1,2,4
2,1,2,5
3,1,3,6
3,1,3,6
3,2,3,7
3,2,3,7
4,2,4,9
5,3,5,12
7,3,7,15
8,4,8,16
7,4,7,16
9,4,9,19
9,5,9,20
10,5,10,23
12,6,12,26
13,7,13,29
13,7,13,29
15,8,15,33
14,7,14,31
13,7,13,29
15,7,15,32
14,7,14,31
15,7,15,32
15,7,15,32
14,7,14,31
15,7,15,32
13,7,13,29
14,7,14,31
15,7,15,32
15,7,15,32
14,7,14,30
14,7,14,30
14,7,14,29
13,6,13,28
12,6,12,25
13,7,13,29
13,6,13,27
12,6,12,25
10,5,10,23
11,5,11,24
11,6,11,24
14,7,14,30
16,8,16,34
12,6,12,27
10,5,10,21
9,4,9,19
8,4,8,17
9,4,9,19
8,4,8,18
8,4,8,18
8,4,8,18
8,4,8,18
8,4,8,18
6,3,6,14
6,3,6,12
3,2,3,7
0,0,0,0
1,1,0,3
2,2,0,5
3,4,0,8
4,5,0,11
5,7,1,16
8,10,1,22
9,12,1,27
11,14,1,31
12,16,1,37
14,19,2,41
15,20,2,45
18,24,2,53
18,24,2,53
20,27,2,60
21,28,2,62
22,29,2,64
21,28,2,62
22,29,2,64
22,29,2,64
22,29,2,65
21,27,2,61
19,25,2,56
19,25,2,56
20,27,2,59
19,26,2,57
19,26,2,57
19,25,2,57
18,24,2,54
18,24,2,53
18,23,2,52
18,24,2,53
19,25,2,55
19,25,2,56
18,24,2,53
15,20,2,45
16,21,2,46
17,22,2,50
20,26,2,58
20,26,2,58
18,24,2,54
18,23,2,52
16,21,2,48
14,19,2,42
13,17,1,37
12,16,1,36
11,15,1,33
9,12,1,26
6,8,1,17
2,3,0,6
0,0,0,0
3,2,3,8
6,3,6,14
10,5,10,22
13,7,13,29
19,9,19,41
26,13,26,56
33,16,33,71
40,20,40,87
45,22,45,98
44,22,44,96
43,21,43,93
42,21,42,90
40,20,40,88
38,19,38,82
35,17,35,75
30,15,30,66
29,15,29,63
32,16,32,69
32,16,32,70
32,16,32,69
33,17,33,72
33,16,33,71
32,16,32,71
33,17,33,73
34,17,34,74
33,16,33,71
32,16,32,70
30,15,30,65
31,15,31,67
29,14,29,63
30,15,30,66
31,16,31,68
30,15,30,66
30,15,30,65
28,14,28,61
26,13,26,56
25,12,25,54
24,12,24,52
23,11,23,50
23,12,23,50
23,12,23,51
26,13,26,56
25,13,25,55
25,12,25,54
25,13,25,55
25,12,25,54
25,12,25,54
25,12,25,53
21,10,21,46
21,10,21,46
20,10,20,44
20,10,20,43
19,9,19,41
18,9,18,39
16,8,16,35
15,8,15,33
13,7,13,29
13,7,13,29
11,6,11,24
10,5,10,22
11,5,11,23
11,5,11,23
9,4,9,19
5,3,5,12
4,2,4,8
1,0,1,2
0,0,0,0
1,1,0,2
2,3,0,6
5,7,1,16
7,9,1,20
8,11,1,24
8,11,1,25
10,13,1,28
12,16,1,35
13,18,1,39
15,20,2,45
15,20,2,45
17,22,2,49
16,21,2,47
16,21,2,47
17,22,2,49
17,22,2,49
17,22,2,50
17,23,2,50
16,21,2,46
15,20,2,45
12,16,1,35
11,15,1,33
12,16,1,36
13,17,1,37
